name,price,serviceOrganizationId
Gourmet Catering Package,1500,16
Specialty Desserts Service,1200,16
Exclusive Event Catering,1800,16
Customized Menu Options,1600,16
Elegant Banquet Catering,2000,16
Floral Arrangement Services,1300,17
Seasonal Flower Decor,1100,17
Wedding Floral Designs,1500,17
Corporate Event Florals,1400,17
Elegant Bouquet Creations,1700,17
Professional Audio Setup,2000,18
Concert Sound Engineering,1800,18
Event DJ and Music Services,1600,18
Acoustic Solutions,1400,18
Hi-Fi Sound Systems Rental,1200,18
High-Tech Equipment Rental,1700,19
Audio-Visual Gear Rental,1500,19
Event Technology Solutions,1400,19
Projector and Screen Rental,1300,19
Virtual Reality Equipment,1100,19
Event Decoration Services,1800,20
Themed Decor Installations,1500,20
Customized Venue Styling,1600,20
Table Centerpiece Designs,1400,20
Luxury Event Decor,2200,20
